learning_rate,batch_size,dropout,num_epochs,f1,roc_auc,accuracy,epochs_trained,time_sec
5e-05,128,0.4,10,0.7386069965332492,0.8428571428571429,0.74,10,110.2
0.0001,64,0.2,15,0.7372377303411787,0.8712500000000001,0.7466666666666667,15,190.3
5e-05,64,0.5,10,0.7358015640273705,0.8794642857142857,0.7466666666666667,10,112.9
5e-05,32,0.4,25,0.7358015640273705,0.8380357142857142,0.7466666666666667,17,195.3
5e-05,32,0.5,15,0.7358015640273705,0.8880357142857143,0.7466666666666667,14,159.7
5e-05,32,0.3,20,0.7280694501860273,0.8548214285714285,0.74,19,205.5
5e-05,64,0.3,10,0.7280694501860273,0.8810714285714285,0.74,10,107.3
0.001,64,0.5,20,0.7264231959000877,0.9042857142857142,0.74,18,206.6
0.0005,128,0.3,10,0.7264231959000877,0.8698214285714285,0.74,10,108.9
0.0001,32,0.2,20,0.7172242198048944,0.84125,0.7266666666666667,9,114.1
5e-05,64,0.2,15,0.7147635317388958,0.9008928571428572,0.72,9,99.0
5e-05,16,0.3,15,0.7141242937853107,0.9130357142857143,0.7266666666666667,15,163.7
0.0001,32,0.2,15,0.7105374746583717,0.9239285714285714,0.7266666666666667,11,139.6
5e-05,32,0.2,20,0.7105374746583717,0.8878571428571428,0.7266666666666667,15,160.1
0.001,32,0.3,10,0.706281083072389,0.8592857142857142,0.72,10,117.5
5e-05,128,0.3,25,0.706281083072389,0.9033928571428572,0.72,25,262.3
5e-05,64,0.3,20,0.706281083072389,0.9189285714285714,0.72,17,187.5
0.0001,64,0.5,10,0.702477183833116,0.8489285714285715,0.72,10,126.2
0.0005,64,0.4,15,0.7002806111086365,0.8560714285714286,0.7,6,67.7
0.001,128,0.5,15,0.696417351470975,0.8996428571428572,0.7133333333333334,15,162.7
0.0001,64,0.4,25,0.6943346877773108,0.9030357142857144,0.7133333333333334,16,201.4
5e-05,32,0.4,20,0.6801176965111392,0.8742857142857143,0.7,12,132.8
0.0001,32,0.4,15,0.6762962962962964,0.8949999999999999,0.6933333333333334,13,161.8
0.0005,64,0.2,15,0.674141677531508,0.8671428571428571,0.6933333333333334,15,168.8
5e-05,128,0.5,20,0.6693831352574985,0.8369642857142857,0.6933333333333334,19,214.5
0.001,64,0.4,10,0.668177105096182,0.9133928571428572,0.6866666666666666,10,113.8
5e-05,64,0.4,10,0.6670224752416533,0.8626785714285714,0.6666666666666666,7,82.3
0.001,64,0.3,10,0.665874363327674,0.8678571428571429,0.68,6,69.1
0.0005,128,0.3,20,0.6638297872340426,0.7417857142857143,0.68,7,75.6
0.0005,32,0.5,25,0.6634704269486879,0.92125,0.6866666666666666,9,101.3
5e-05,128,0.3,20,0.6542760942760943,0.8748214285714285,0.66,13,139.4
0.0005,128,0.4,20,0.6535798956851588,0.8925000000000001,0.6533333333333333,11,119.6
0.001,128,0.4,15,0.6522796352583586,0.8644642857142857,0.68,15,162.2
0.0005,64,0.3,20,0.6452876527291704,0.8930357142857143,0.6733333333333333,7,81.8
5e-05,128,0.4,15,0.6262683736367947,0.6826785714285715,0.6266666666666667,8,88.5
0.0001,128,0.5,10,0.626265879405976,0.7255357142857143,0.6266666666666667,6,71.8
0.0001,128,0.5,15,0.622251110388907,0.7444642857142856,0.6333333333333333,11,131.9
0.0001,128,0.3,10,0.6186666666666667,0.812142857142857,0.6333333333333333,10,120.1
0.0005,128,0.4,10,0.6147676161919041,0.7392857142857142,0.64,10,115.4
0.0005,64,0.2,20,0.6101867572156198,0.7632142857142857,0.6266666666666667,6,65.7
0.0005,128,0.4,15,0.597432697450526,0.8357142857142856,0.6,9,97.4
5e-05,128,0.3,10,0.5965063964007237,0.7639285714285714,0.6333333333333333,10,102.5
0.001,128,0.5,20,0.5963800904977375,0.7092857142857143,0.6333333333333333,8,90.2
0.001,64,0.4,15,0.5937943262411348,0.9185714285714286,0.6133333333333333,6,67.6
0.001,128,0.5,10,0.5902315000669075,0.6076785714285714,0.5933333333333334,6,66.3
