scenario,feature,feature_group,healthy_n_patients,parkinson_n_patients,healthy_mean,healthy_std,healthy_median,healthy_q1,healthy_q3,parkinson_mean,parkinson_std,parkinson_median,parkinson_q1,parkinson_q3,mean_difference_pd_minus_healthy,median_difference_pd_minus_healthy,cohens_d,abs_cohens_d,p_value_mannwhitney,q_value_bh
combined_all,mfcc_delta_04_min,Delta MFCC,120,75,-10.37911275853204,6.1007181518937195,-9.344221655279398,-14.938283920288086,-3.993623375892639,-8.79746984109824,5.5775531121402855,-6.59636093378067,-13.936309814453123,-3.9202404022216797,1.5816429174338005,2.7478607214987276,0.2678205398968174,0.2678205398968174,0.1006134613181615,0.41856864637830926
combined_all,mfcc_delta_02_min,Delta MFCC,120,75,-18.89758789021458,11.251217303429787,-17.366460666060448,-30.20477104187012,-7.0011773109436035,-15.979828690728743,11.15736457515524,-10.999999046325684,-28.64815330505371,-6.3346874713897705,2.917759199485838,6.366461619734764,0.26015823517786896,0.26015823517786896,0.09636194052062165,0.41856864637830926
combined_all,mfcc_delta_07_std,Delta MFCC,120,75,1.7872333819432635,0.788869776529029,1.8439385696792567,1.0104379795355647,2.3636005069009225,1.596908267369237,0.7101707156828233,1.4283986171641845,0.986217344418872,2.332223727733394,-0.19032511457402657,-0.41553995251507225,-0.2505400814089178,0.2505400814089178,0.10389916614318256,0.41856864637830926
combined_all,mfcc_delta2_03_max,Delta-Delta MFCC,120,75,9.024361611187905,5.526553120080431,7.73192273080349,3.885732650756836,14.410328149795532,7.7299968366971905,4.869530755447451,5.630321502685547,3.6247860193252563,12.547067642211914,-1.294364774490714,-2.101601228117943,-0.24494522918614212,0.24494522918614212,0.1011552543732626,0.41856864637830926
combined_all,mfcc_delta2_12_std,Delta-Delta MFCC,120,75,0.7822153891490992,0.2962549415656098,0.7843201324068214,0.5226777489252497,1.040125438311273,0.7148193162675666,0.2603559839484081,0.7024600870923856,0.4640728728997435,0.9608052799770754,-0.0673960728815326,-0.0818600453144358,-0.2381240008230591,0.2381240008230591,0.103345703517284,0.41856864637830926
combined_all,spectral_contrast_02_max,Spectral Contrast,120,75,37.83767132142733,4.721526619388198,38.04200164860341,33.981203733725444,41.294752851381965,36.80343719393942,3.8725429126337323,36.12528378703867,34.64308465339538,38.62343687236338,-1.034234127487906,-1.9167178615647416,-0.23423615651495344,0.23423615651495344,0.1011552543732626,0.41856864637830926
combined_all,mfcc_08_std,MFCC,120,75,9.524385676470235,3.6594256918648225,10.365717066372337,6.02129986052222,12.56881515523785,8.82445025351004,3.0479202019480605,8.594554942267337,6.611452583719982,11.080022031823988,-0.6999354229601948,-1.7711621241050004,-0.20359721216162868,0.20359721216162868,0.10445498132988473,0.41856864637830926
combined_all,signal_mean,Signal Statistics,120,75,0.0012443984201363947,0.005514385707634139,-3.900609226548113e-05,-9.31713275349466e-05,1.8003122193022126e-07,-4.662188118272006e-05,0.00027808699769683,-5.943812720943242e-05,-0.00012465594045345,-6.688227813356207e-06,-0.0012910203013191148,-2.0432034943951294e-05,-0.29791884264450663,0.29791884264450663,0.11072598697822243,0.4281744767376336
combined_all,mfcc_delta_12_std,Delta MFCC,120,75,1.18907842059119,0.4635735862634758,1.2253083395639526,0.7565306242696155,1.5770272318424408,1.0815659436089482,0.3909988969850517,1.0465500075127183,0.7427947035520168,1.3756546664584488,-0.10751247698224176,-0.17875833205123426,-0.24592634600962063,0.24592634600962063,0.11072598697822243,0.4281744767376336
combined_all,mfcc_02_min,MFCC,120,75,17.11102877820874,103.38722659143079,-9.274066584184766,-76.39511426289876,134.01853942871094,40.85093839417416,94.23197594047978,75.21841430664062,-58.21821594238281,132.08123779296875,23.739909615965416,84.49248089082539,0.23745591105463498,0.23745591105463498,0.11189747555953086,0.4281744767376336
combined_all,spectral_contrast_02_min,Spectral Contrast,120,75,6.438672378301584,3.447557794259656,5.958822319053739,3.551976523314229,8.518148164207517,7.286735205762814,3.8043766642531036,6.594593924658864,3.831728729667767,10.812787641154104,0.8480628274612299,0.6357716056051252,0.23632363460252037,0.23632363460252037,0.11307871937581422,0.4281744767376336
combined_all,spectral_bandwidth_mean,Spectral Descriptors,120,75,1333.5015919396194,487.1414447089739,1543.4989642226944,767.5561962358961,1774.6192092754866,1191.0764290844045,487.30046456628975,939.6856181142748,745.6053359254681,1719.2377519696206,-142.42516285521492,-603.8133461084196,-0.2923326247342351,0.2923326247342351,0.1166814698083567,0.4337905123027792
combined_all,mfcc_delta2_03_mean,Delta-Delta MFCC,120,75,0.05055048262537073,0.1329397100124609,0.0069049317275141,-0.0009402138479720748,0.059469400029655825,0.08607774088129773,0.1636319105950373,0.0081900361753557,0.0018203271005992,0.15409651877436495,0.035527258255927,0.0012851044478416002,0.2442153042449296,0.2442153042449296,0.12037376688180604,0.4337905123027792
combined_all,mfcc_delta2_07_std,Delta-Delta MFCC,120,75,1.1561148436599462,0.5168461599893442,1.104223496035398,0.6861086028822356,1.6002807984752039,1.0352298338578918,0.46972400038880113,0.8603672580318105,0.6218850512785261,1.5065128867947035,-0.12088500980205441,-0.24385623800358758,-0.24210676583471483,0.24210676583471483,0.12099794705181378,0.4337905123027792
combined_all,spectral_flatness_max,Spectral Descriptors,120,75,0.1776792447826834,0.15563030613215978,0.16838910677324748,0.00285638385685155,0.3436923623085022,0.14771362519379905,0.16713515057124714,0.0118551198393106,0.00142419245094055,0.3138668835163116,-0.029965619588884357,-0.15653398693393689,-0.18712230196698923,0.18712230196698923,0.11975211023357628,0.4337905123027792
combined_all,mfcc_delta2_08_max,Delta-Delta MFCC,120,75,3.8320544189264054,2.066053046411101,3.803111081322034,1.6938585340976715,5.817177295684815,3.4475459584259163,2.2270806522255873,2.6487358572582402,1.4891750812530518,5.246662139892578,-0.38450846050048915,-1.1543752240637937,-0.18058533105555152,0.18058533105555152,0.11851634353060507,0.4337905123027792
combined_all,spectral_contrast_06_mean,Spectral Contrast,120,75,27.079725064365643,12.450872416397125,19.51062940769573,17.330539240737792,41.84477377537218,32.02520981699257,14.097453187516225,40.94769899935434,17.439690976305,43.849927148344555,4.945484752626928,21.437069591658606,0.37732555984731,0.37732555984731,0.12673011036861523,0.44487549160649303
combined_all,pitch_hz_median,Pitch / Voicing,120,75,232.04558402442527,90.94738249279712,203.60404205322266,173.0710792541504,275.0250930786133,219.5363810891578,101.34546568318098,190.8939819335937,133.10138702392578,268.94384002685547,-12.509202935267467,-12.710060119628963,-0.13158061199903068,0.13158061199903068,0.12673011036861523,0.44487549160649303
combined_all,mfcc_12_max,MFCC,120,75,22.76800184325936,11.631261109402969,24.883983612060547,12.0809166431427,32.611515045166016,26.203601930524687,11.886235119255312,25.333251953125,18.1523945554276,33.27871894836426,3.4356000872653283,0.4492683410644531,0.2928980650675806,0.2928980650675806,0.134699159125011,0.453936166251287
combined_all,mfcc_delta_04_max,Delta MFCC,120,75,10.116579230140067,6.260002964699551,9.395702011883259,3.372342705726624,15.460708379745483,8.507329881502907,5.996256064620052,4.766601085662842,3.510777711868286,13.966089248657227,-1.6092493486371602,-4.629100926220417,-0.26123278072838585,0.26123278072838585,0.13402062051791575,0.453936166251287
combined_all,mfcc_delta_11_std,Delta MFCC,120,75,1.2518262410249335,0.49162321689420063,1.3196028511784228,0.7466532724405563,1.6810212319099214,1.1369179030736325,0.4657374828258438,0.99769053804783,0.732472684041739,1.516948289888274,-0.11490833795130095,-0.32191231313059276,-0.23846705973608237,0.23846705973608237,0.13200086213445422,0.453936166251287
